1	Original	Классический	клубника, черника, зеленое яблоко	клубника, манго, киви, ежевика	мотчи, ореховая смесь	ананас, лимон	818182	6
2	Acai_Berry	Асаи ягоды	классический, клубника, малина	голубика, клубника, киви	мотчи, ореховая смесь, кокос	клубника, шоколад, лимон	002157	4
3	Almond	Миндаль	шоколад, ваниль, банан	клубника, манго, яблоко	миндаль, кокос, дробленый арахис	шоколад, клубника	e08d26	2
4	Apple_Pie	Яблочный пирог	ваниль, банан, апельсиновый крем	банан, яблоко, манго	дробленый миндаль, гранола	клубника, сгущенное молоко, карамель	cd792b	9
5	Banana	Банан	шоколад, клубника, капучино 	клубника, банан, ананас	дробленый арахис, мотчи, мини M&M	шоколад, клубника	c8ba2e	3
6	Birthday_Cake	Праздничный торт	ваниль, шоколад, печенье со сливочным кремом	клубника, арбуз, вишня	брауни, шоколадная крошка	шоколад, клубника	cba92c	1
7	Black_Cherry	Черная вишня	шоколад, ваниль, классический	вишня, голубика	шоколадные чипсы, миндаль, гранола	карамель, шоколад	55100f	1
8	Blueberry	Черника	классический, клубника, малина	голубика, клубника, киви	мотчи, ореховая смесь, кокос	клубника, шоколад	4a5d91	3
9	Cappuccino	Капучино	ваниль, печенье со сливочным кремом, шоколад	банан, вишня	миндаль, ореховая смесь	шоколад	e78d33	5
10	Cheese_Cake	Чизкейк	банан, капучино, клубника	голубика, клубника	чизкейк, кусочки печенья «Орео»	клубника, лимон	e88224	6
11	Cherry_Amaretto	Вишня Амаретто	шоколад, ваниль, классический	вишня, голубика	шоколадные чипсы, миндаль, гранола	шоколад, карамель	d22034	2
12	Chestnut	Каштан	шоколад, ваниль, банан	клубника, манго, яблоко	миндаль, кокос, дробленый арахис	шоколад, клубника	783521	1
13	Chocolate	Очень шоколадный	арахисовое масло, ваниль, малина	клубника, манго	дробленый арахис, брауни, гранола, шоколадные чипсы	шоколад, карамель	935e26	1
14	Chocolate_Coffee_Bean	Кофейные зерна в шоколаде	ваниль, шоколад	банан, вишня	миндаль, ореховая смесь	шоколад	935e26
15	Chocolate_Mint	Мятный шоколад	шоколад, клубника, миндаль	клубника, киви, ананас	миндальные лепестки, ореховая смесь, брауни, шоколадная крошка	шоколад, карамель	6da442	3
16	Chocolate_Rasberry	Малина в шоколаде	шоколад, черника, малина	голубика, ежевика, манго	шоколадные чипсы, кусочки белого шоколада	клубника	935e26	3
17	Chocolate_Strawberry	Клубника в шоколаде	шоколад, голубика, малина	голубика, ежевика, манго	шоколадные чипсы, кусочки белого шоколада	клубника	935e26	2
18	Cinnamon_Cookie	Печенье с корицей	зеленое яблоко, ваниль, банан	банан, клубника, голубика	ореховая смесь, дробленый арахис, йогуртовые чипсы	карамель, шоколад	935e26	1
19	Coconut	Кокос	ананас, ваниль	ананас, дыня, манго	кокос, дробленый арахис, ореховая смесь, мини M&M	карамель, шоколад	935e26	2
20	Coffee	Кофе	ваниль, шоколад	банан, вишня	миндаль, ореховая смесь	шоколад	935e26
21	CreamyFruit	Сливочные фрукты	киви, клубника, классический, апельсиновый	ананас, клубника	кокос, манго, фруктовый мармелад	сгущенное молоко, клубника, манго	c7b12e	2
22	Grape	Виноград	киви, классический, манго	манго, клубника, виноград	дробленый арахис, миндаль, фруктовый мармелад	лимон, клубника	7263a6	1
23	Green_Apple	Зеленое яблоко	ананас, клубника	яблоко, ананас, клубника, киви	ореховая смесь, дробленый арахис, миндаль	карамель, клубника, шоколад	7f953b	2
24	Green_Tea	Зеленый чай	ваниль, банан, таро	голубика, ежевика	фруктовый мармелад, шоколад, миндальные лепестки	сгущенное молоко	7f953b	3
25	Guava	Гуава	клубника, мотчи				b3b435	6
26	Kiwi	Киви	клубника, классчический	клубника, киви, ежевика	мотчи	клубника, сгущенное молоко	66ae45
